Section,Thk_in_gross,Area_in2Thk_in_gross,Weight_lb_ftThk_in_gross,Ixx_in4Thk_in_gross,Sxx_in3Thk_in_gross,Rx_inThk_in_gross,Iyy_in4Thk_in_gross,Ry_inThk_in_gross,Ixx_in4_33ksi,Sxx_in3_33ksi,Ma_in_k_33ksi,Va_lb_33ksi,Ycg_in_33ksi,Ixx_in4_50ksi,Sxx_in3_50ksi,Ma_in_k_50ksi,Va_lb_50ksi,Ycg_in_50ksi,Jx1000_in4_tor,Cw_in6_tor,Xo_in_tor,Ro_in_tor,beta_tor
1400S350-97,0.1,2.26,7.7,62.51,8.93,5.26,3.3,1.21,62.51,8.76,191.08,6656,7.05,62.51,8.01,239.84,6656,7.29,7.799 128,0.94,-2.19,5.82,0.86
1400S350-118,0.12,2.74,9.33,75.2,10.74,5.24,3.9,1.19,75.2,10.74,238.95,12225,7,75.2,10.35,309.98,12225,7.1,14.099 15,3.19,-2.18,5.8,0.86
1600S162-681,0.07,1.41,4.78,40.91,5.11,5.39,0.27,0.44,40.91,4.29,84.82,1978,8.61,39.5,3.83,114.54,1978,9.03,2.38,14.73,-0.61,5.45,0.99
1600S162-97,0.1,1.98,6.75,56.82,7.1,5.35,0.35,0.42,56.82,7.1,170.45,5796,8,56.82,6.68,200.09,5796,8.2,6.84,19.63,-0.59,5.4,0.99
1600S162-118,0.12,2.4,8.17,68.01,8.5,5.32,0.39,0.41,68.01,8.5,211.27,10635,8,68.01,8.5,311.06,10635,8,12.34,22.78,-0.58,5.37,0.99
1600S200-681,0.07,1.48,5.03,45.29,5.66,5.54,0.51,0.59,45.29,4.84,95.71,1978,8.56,43.97,4.25,127.23,1978,9.03,2.5,26.97,-0.88,5.64,0.98
1600S200-97,0.1,2.08,7.09,63.05,7.88,5.5,0.67,0.57,63.05,7.88,183.25,5796,8,63.05,7.47,223.54,5796,8.19,7.19,36.38,-0.86,5.6,0.98
1600S200-118,0.12,2.53,8.59,75.6,9.45,5.47,0.77,0.55,75.6,9.45,226.49,10635,8,75.6,9.45,334.85,10635,8,12.98,42.6,-0.84,5.56,0.98
1600S250-681,0.07,1.55,5.27,49.81,6.23,5.67,0.89,0.76,49.81,5.19,102.56,1978,8.64,49.81,4.13,123.6,1978,9.41,2.62,45.89,-1.19,5.84,0.96
1600S250-97,0.1,2.19,7.44,69.48,8.69,5.64,1.19,0.74,69.48,8.67,195.81,5796,8.01,69.48,7.89,236.34,5796,8.31,7.54,62.41,-1.16,5.8,0.96
1600S250-118,0.12,2.65,9.01,83.43,10.43,5.61,1.39,0.72,83.43,10.43,241.69,10635,8,83.43,10.21,351.12,10635,8.06,13.62,73.54,-1.15,5.77,0.96
1600S300-681,0.07,1.62,5.51,54.34,6.79,5.79,1.41,0.93,54.34,5.06,99.98,1978,8.99,53.81,4.37,130.75,1978,9.51,2.75,71.06,-1.51,6.06,0.94
162T100-18,0.02,0.07,0.23,0.04,0.04,0.71,0.01,0.32,0.03,0.02,0.48,309,1.04,0,0,0,0,0,0.01,0,-0.67,1.03,0.58
162T100-27,0.03,0.1,0.35,0.05,0.06,0.72,0.01,0.32,0.05,0.04,0.83,577,1,0,0,0,0,0,0.03,0.01,-0.66,1.03,0.58
162T100-30,0.03,0.11,0.38,0.06,0.07,0.72,0.01,0.32,0.05,0.05,0.95,637,0.99,0,0,0,0,0,0.04,0.01,-0.66,1.03,0.59
162T100-33,0.03,0.13,0.43,0.06,0.07,0.72,0.01,0.32,0.06,0.06,1.09,70 7,0.98,0,0,0,0,0,0.05,0.01,-0.66,1.03,0.59
162T100-43,0.05,0.16,0.55,0.08,0.09,0.72,0.02,0.32,0.08,0.08,1.58,925,0.95,0,0,0,0,0,0.11,0.01,-0.65,1.02,0.59
162T100-54,0.06,0.2,0.7,0.11,0.12,0.72,0.02,0.32,0.11,0.11,2.19,1151,0.93,0.11,0.1,3.07,1743,0.96,0.22,0.01,-0.65,1.02,0.6
162T100-68,0.07,0.26,0.88,0.14,0.15,0.74,0.03,0.31,0.14,0.15,3.3,1429,0.94,0.14,0.14,4.28,2165,0.95,0.44,0.02,-0.65,1.03,0.61
162T125-43,0.05,0.19,0.63,0.1,0.11,0.74,0.03,0.41,0.09,0.09,1.68,925,1,0,0,0,0,0,0.13,0.02,-0.88,1.22,0.48
162T125-54,0.06,0.23,0.79,0.13,0.14,0.75,0.04,0.4,0.13,0.12,2.36,1151,0.98,0.12,0.11,3.27,1743,1.01,0.25,0.02,-0.87,1.22,0.49
162T125-68,0.07,0.29,1,0.17,0.18,0.76,0.05,0.4,0.17,0.17,3.33,1429,0.96,0.17,0.16,4.65,2165,0.99,0.5,0.03,-0.87,1.22,0.49
162T150-33,0.03,0.16,0.54,0.09,0.1,0.75,0.04,0.49,0.07,0.06,1.19,70 7,1.07,0,0,0,0,0,0.06,0.02,-1.11,1.43,0.4
162T150-43,0.05,0.21,0.71,0.12,0.13,0.75,0.05,0.49,0.1,0.09,1.75,925,1.04,0,0,0,0,0,0.14,0.03,-1.11,1.43,0.4
162T150-54,0.06,0.26,0.89,0.15,0.17,0.76,0.06,0.49,0.14,0.13,2.48,1151,1.02,0.13,0.11,3.42,1743,1.05,0.28,0.04,-1.1,1.43,0.4
162T150-68,0.07,0.33,1.12,0.2,0.21,0.77,0.08,0.49,0.19,0.18,3.55,1429,1,0.19,0.16,4.91,2165,1.03,0.56,0.05,-1.1,1.43,0.41
250T100-18,0.02,0.09,0.29,0.09,0.07,1.02,0.01,0.31,0.07,0.05,0.88,235,1.5,0,0,0,0,0,0.01,0.01,-0.57,1.21,0.78
250T100-27,0.03,0.13,0.43,0.13,0.1,1.02,0.01,0.31,0.12,0.08,1.49,700,1.46,0,0,0,0,0,0.03,0.02,-0.57,1.21,0.78
250T100-30,0.03,0.14,0.48,0.15,0.11,1.02,0.01,0.31,0.13,0.09,1.69,851,1.45,0,0,0,0,0,0.05,0.02,-0.57,1.21,0.78
250T100-33,0.03,0.16,0.53,0.16,0.12,1.02,0.02,0.31,0.15,0.1,1.93,1046,1.43,0,0,0,0,0,0.06,0.02,-0.57,1.21,0.78
250T100-43,0.05,0.2,0.69,0.21,0.16,1.02,0.02,0.31,0.21,0.14,2.74,1446,1.4,0,0,0,0,0,0.14,0.02,-0.56,1.21,0.78
250T100-54,0.06,0.25,0.86,0.27,0.2,1.03,0.02,0.3,0.27,0.19,3.73,1804,1.38,0.27,0.18,5.31,2734,1.41,0.27,0.03,-0.56,1.21,0.79
250T100-68,0.07,0.32,1.09,0.34,0.25,1.04,0.03,0.3,0.34,0.25,5.58,2252,1.38,0.34,0.24,7.26,3412,1.39,0.54,0.04,-0.55,1.21,0.79
350T100-18,0.02,0.1,0.35,0.19,0.1,1.35,0.01,0.29,0.16,0.06,1.22,166,2.18,0,0,0,0,0,0.01,0.02,-0.5,1.47,0.89
350T100-27,0.03,0.16,0.53,0.29,0.16,1.35,0.01,0.29,0.26,0.12,2.42,566,1.97,0,0,0,0,0,0.04,0.03,-0.49,1.47,0.89
350T100-30,0.03,0.17,0.58,0.31,0.17,1.35,0.01,0.29,0.29,0.14,2.73,758,1.96,0,0,0,0,0,0.06,0.03,-0.49,1.47,0.89
350T100-33,0.03,0.19,0.65,0.35,0.19,1.35,0.02,0.29,0.32,0.16,3.11,1033,1.95,0,0,0,0,0,0.08,0.04,-0.49,1.47,0.89
350T100-43,0.05,0.25,0.84,0.45,0.25,1.35,0.02,0.29,0.44,0.22,4.36,1777,1.91,0,0,0,0,0,0.17,0.05,-0.49,1.47,0.89
350T100-54,0.06,0.31,1.06,0.57,0.31,1.36,0.03,0.29,0.57,0.3,5.86,2551,1.88,0.57,0.28,8.4,3446,1.91,0.33,0.06,-0.48,1.47,0.89
350T100-68,0.07,0.39,1.33,0.73,0.39,1.37,0.03,0.28,0.73,0.39,8.67,3193,1.88,0.73,0.38,11.34,4838,1.89,0.66,0.08,-0.48,1.48,0.9
350T150-97,0.1,0.66,2.24,1.42,0.74,1.47,0.14,0.46,1.42,0.74,14.58,4494,1.93,1.42,0.7,20.98,6809,1.97,2.27,0.34,-0.85,1.76,0.76
350T200-97,0.1,0.76,2.59,1.78,0.92,1.53,0.31,0.63,1.78,0.83,16.41,4494,2.01,1.71,0.77,23.01,6809,2.06,2.62,0.76,-1.27,2.09,0.63
362T100-18,0.02,0.11,0.36,0.21,0.11,1.39,0.01,0.29,0.17,0.06,1.26,160,2.26,0,0,0,0,0,0.01,0.02,-0.49,1.5,0.9
362T100-27,0.03,0.16,0.54,0.31,0.16,1.39,0.01,0.29,0.28,0.13,2.55,546,2.04,0,0,0,0,0,0.04,0.03,-0.48,1.5,0.9
362T100-30,0.03,0.18,0.6,0.34,0.18,1.39,0.02,0.29,0.31,0.15,2.88,731,2.02,0,0,0,0,0,0.06,0.04,-0.48,1.5,0.9
362T100-33,0.03,0.19,0.66,0.38,0.2,1.39,0.02,0.29,0.35,0.17,3.28,996,2.01,0,0,0,0,0,0.08,0.04,-0.48,1.5,0.9
362T100-43,0.05,0.25,0.86,0.49,0.26,1.39,0.02,0.29,0.48,0.23,4.58,1777,1.97,0,0,0,0,0,0.17,0.05,-0.48,1.5,0.9
362T100-54,0.06,0.32,1.08,0.62,0.33,1.4,0.03,0.28,0.62,0.31,6.15,2645,1.94,0.61,0.3,8.82,3446,1.98,0.34,0.07,-0.47,1.5,0.9
362T100-68,0.07,0.4,1.36,0.79,0.41,1.41,0.03,0.28,0.79,0.41,9.09,3311,1.94,0.79,0.4,11.9,5017,1.96,0.68,0.08,-0.47,1.51,0.9
362T100-97,0.1,0.57,1.94,1.15,0.58,1.42,0.04,0.27,1.15,0.58,13.45,4662,1.99,1.15,0.58,19.96,7063,1.99,1.97,0.12,-0.46,1.52,0.91
362T125-97,0.1,0.62,2.11,1.34,0.68,1.47,0.08,0.36,1.34,0.68,15.24,4662,1.99,1.34,0.68,20.2,7063,1.99,2.14,0.22,-0.65,1.65,0.85
362T150-97,0.1,0.67,2.29,1.53,0.77,1.51,0.14,0.45,1.53,0.77,15.23,4662,1.99,1.53,0.73,21.94,7063,2.03,2.32,0.37,-0.84,1.79,0.78
362T200-97,0.1,0.77,2.63,1.92,0.96,1.58,0.31,0.63,1.92,0.87,17.14,4662,2.07,1.84,0.8,24.06,7063,2.13,2.67,0.82,-1.26,2.11,0.65
362T250-43,0.05,0.39,1.32,0.97,0.51,1.58,0.26,0.82,0.71,0.28,5.56,1777,2.32,0,0,0,0,0,0.26,0.64,-1.72,2.47,0.52
362T250-54,0.06,0.49,1.66,1.22,0.64,1.59,0.32,0.82,0.97,0.39,7.69,2645,2.28,0.91,0.36,10.77,3446,2.33,0.52,0.81,-1.71,2.47,0.52
362T250-68,0.07,0.61,2.09,1.57,0.81,1.6,0.41,0.81,1.34,0.55,10.79,3311,2.23,1.26,0.5,15.04,5017,2.29,1.04,1.04,-1.71,2.47,0.52
362T250-97,0.1,0.88,2.98,2.3,1.16,1.62,0.57,0.81,2.18,0.93,18.34,4662,2.16,2.07,0.85,25.49,7063,2.23,3.02,1.52,-1.7,2.48,0.53
400T100-181,0.02,0.11,0.38,0.26,0.13,1.51,0.01,0.29,0.22,0.07,1.38,145,2.53,0,0,0,0,0,0.01,0.03,-0.46,1.61,0.92
400T100-27,0.03,0.17,0.58,0.39,0.19,1.51,0.01,0.28,0.35,0.15,2.96,49 4,2.23,0,0,0,0,0,0.05,0.04,-0.46,1.61,0.92
400T100-30,0.03,0.19,0.64,0.43,0.21,1.51,0.02,0.28,0.39,0.17,3.33,661,2.21,0,0,0,0,0,0.06,0.05,-0.46,1.61,0.92
400T100-33,0.03,0.21,0.71,0.48,0.23,1.51,0.02,0.28,0.44,0.19,3.79,90 1,2.2,0,0,0,0,0,0.08,0.05,-0.46,1.61,0.92
400T100-43,0.05,0.27,0.92,0.62,0.3,1.52,0.02,0.28,0.61,0.27,5.28,1777,2.16,0,0,0,0,0,0.18,0.07,-0.45,1.61,0.92
400T100-54,0.06,0.34,1.15,0.78,0.37,1.52,0.03,0.28,0.78,0.36,7.06,2799,2.13,0.77,0.34,10.16,3446,2.17,0.36,0.08,-0.45,1.61,0.92
400T100-68,0.07,0.43,1.45,1,0.47,1.53,0.03,0.28,1,0.47,10.42,3664,2.13,1,0.46,13.65,5468,2.14,0.72,0.1,-0.45,1.61,0.92
400T100-97,0.1,0.61,2.07,1.44,0.66,1.54,0.04,0.27,1.44,0.66,15.4,5165,2.18,1.44,0.66,22.86,7826,2.18,2.1,0.15,-0.44,1.62,0.93
400T125-97,0.1,0.66,2.24,1.67,0.77,1.59,0.08,0.36,1.67,0.77,17.35,5165,2.18,1.67,0.77,23,7826,2.18,2.27,0.28,-0.62,1.75,0.88
400T150-97,0.1,0.71,2.41,1.9,0.87,1.64,0.14,0.45,1.9,0.87,17.27,5165,2.18,1.9,0.83,24.92,7826,2.22,2.45,0.46,-0.81,1.88,0.82
400T200-33,0.03,0.28,0.94,0.77,0.37,1.67,0.11,0.64,0.58,0.22,4.34,901,2.47,0,0,0,0,0,0.11,0.34,-1.24,2.17,0.67
400T200-43,0.05,0.36,1.23,1,0.48,1.67,0.15,0.64,0.81,0.31,6.14,1777,2.42,0,0,0,0,0,0.24,0.44,-1.24,2.17,0.68
400T200-54,0.06,0.45,1.54,1.27,0.6,1.68,0.18,0.64,1.09,0.43,8.42,2799,2.37,1.04,0.4,11.88,3446,2.43,0.48,0.55,-1.23,2.17,0.68
400T200-68,0.07,0.57,1.94,1.62,0.76,1.69,0.23,0.63,1.49,0.59,11.68,3664,2.33,1.41,0.55,16.42,5468,2.39,0.97,0.7,-1.23,2.18,0.68
400T200-97,0.1,0.81,2.76,2.36,1.09,1.71,0.32,0.63,2.36,0.98,19.38,5165,2.26,2.27,0.91,27.28,7826,2.32,2.8,1.02,-1.22,2.19,0.69
400T250-43,0.05,0.41,1.38,1.19,0.57,1.72,0.27,0.81,0.89,0.32,6.4,1777,2.53,0,0,0,0,0,0.28,0.8,-1.67,2.53,0.57
400T250-54,0.06,0.51,1.73,1.51,0.72,1.72,0.34,0.81,1.21,0.45,8.8,2799,2.48,1.14,0.41,12.38,3446,2.54,0.54,1.01,-1.66,2.53,0.57
400T250-68,0.07,0.64,2.18,1.93,0.91,1.74,0.42,0.81,1.65,0.62,12.28,3664,2.44,1.56,0.57,17.19,5468,2.5,1.09,1.29,-1.66,2.53,0.57
400T250-97,0.1,0.91,3.11,2.82,1.3,1.76,0.59,0.8,2.68,1.05,20.72,5165,2.36,2.55,0.97,28.89,7826,2.43,3.15,1.88,-1.65,2.54,0.58
400T300-54,0.06,0.57,1.92,1.75,0.84,1.76,0.55,0.99,1.3,0.46,9.09,2799,2.58,1.22,0.43,12.77,3446,2.64,0.6,1.66,-2.11,2.92,0.48
400T300-68,0.07,0.71,2.42,2.24,1.05,1.77,0.69,0.98,1.8,0.65,12.74,3664,2.53,1.69,0.59,17.78,5468,2.6,1.21,2.12,-2.1,2.92,0.48
400T300-97,0.1,1.02,3.45,3.28,1.51,1.8,0.97,0.98,2.95,1.1,21.7,5165,2.45,2.79,1.01,30.09,7826,2.52,3.5,3.1,-2.09,2.93,0.49
550T100-27,0.03,0.21,0.72,0.84,0.3,1.99,0.01,0.26,0.78,0.21,4.07,357,3.2,0,0,0,0,0,0.06,0.09,-0.39,2.04,0.96
550T100-30,0.03,0.23,0.8,0.92,0.33,1.99,0.02,0.26,0.86,0.25,4.97,478,3.09,0,0,0,0,0,0.08,0.1,-0.39,2.04,0.96
550T100-33,0.03,0.26,0.88,1.02,0.36,1.99,0.02,0.26,0.96,0.31,6.17,652,2.96,0,0,0,0,0,0.1,0.11,-0.39,2.04,0.96
550T100-43,0.05,0.34,1.15,1.33,0.47,1.99,0.02,0.26,1.31,0.43,8.49,1443,2.92,0,0,0,0,0,0.23,0.14,-0.38,2.04,0.97
550T100-54,0.06,0.42,1.44,1.68,0.59,1.99,0.03,0.26,1.68,0.57,11.22,2799,2.88,1.65,0.54,16.29,2859,2.92,0.45,0.17,-0.38,2.04,0.97
550T100-68,0.07,0.53,1.82,2.13,0.74,2,0.03,0.25,2.13,0.74,16.45,4442,2.88,2.13,0.72,21.65,5468,2.9,0.9,0.21,-0.38,2.05,0.97
550T100-97,0.1,0.76,2.59,3.06,1.05,2.01,0.05,0.25,3.06,1.05,24.32,7179,2.93,3.06,1.05,36.08,10877,2.93,2.62,0.3,-0.37,2.06,0.97
550T125-97,0.1,0.81,2.76,3.48,1.19,2.07,0.09,0.33,3.48,1.19,26.87,7179,2.93,3.48,1.19,35.62,10877,2.93,2.8,0.56,-0.53,2.16,0.94
550T150-97,0.1,0.86,2.93,3.9,1.33,2.13,0.15,0.42,3.9,1.33,26.35,7179,2.93,3.9,1.28,38.27,10877,2.97,2.97,0.93,-0.7,2.28,0.91
550T200-97,0.1,0.96,3.28,4.75,1.62,2.22,0.35,0.6,4.75,1.48,29.3,7179,3.02,4.57,1.39,41.64,10877,3.09,3.32,2.05,-1.08,2.54,0.82
550T250-43,0.05,0.47,1.61,2.4,0.85,2.25,0.3,0.79,1.84,0.52,10.2,1443,3.34,0,0,0,0,0,0.32,1.64,-1.5,2.82,0.72
550T250-54,0.06,0.59,2.02,3.03,1.06,2.26,0.37,0.79,2.47,0.7,13.81,2799,3.29,2.35,0.66,19.66,2859,3.35,0.63,2.06,-1.49,2.82,0.72
550T250-68,0.07,0.75,2.54,3.85,1.34,2.27,0.46,0.79,3.34,0.96,18.97,4442,3.23,3.17,0.9,26.86,5468,3.3,1.27,2.62,-1.49,2.82,0.72
550T250-97,0.1,1.07,3.63,5.59,1.91,2.29,0.65,0.78,5.31,1.58,31.23,7179,3.14,5.07,1.47,44.01,10877,3.21,3.67,3.78,-1.48,2.83,0.73
550T300-54,0.06,0.65,2.21,3.48,1.22,2.31,0.61,0.97,2.65,0.72,14.28,2799,3.4,2.53,0.66,19.84,2859,3.5,0.69,3.38,-1.91,3.15,0.63
